var1,var2,label
3.82,2.95,36.94
5.13,13.09,47.70
3.99,18.22,36.66
6.87,10.31,29.10
6.44,13.14,9.95
6.68,7.01,10.75
6.81,19.97,7.21
2.16,5.11,17.51
3.35,11.26,0.96
2.35,9.73,46.75
3.88,16.87,49.97
5.84,2.80,39.20
0.56,11.91,31.81
4.70,15.94,24.44
8.00,3.46,0.89
1.29,18.92,8.48
9.19,5.68,5.85
3.07,15.47,31.87
4.57,2.68,42.06
4.71,12.16,19.26
2.03,9.42,4.83
5.64,6.82,14.07
9.73,3.21,3.67
3.74,14.82,13.29
6.32,6.17,18.75
7.16,8.33,18.58
3.69,15.22,23.59
3.75,7.33,18.74
2.11,7.24,34.43
3.06,12.88,31.10
6.70,19.35,34.27
8.21,11.97,16.34
8.28,16.83,32.74
4.07,7.65,2.21
4.19,3.76,37.40
9.65,15.87,41.50
2.62,2.79,12.02
0.40,19.15,1.03
9.17,1.86,39.54
2.15,8.53,18.75
2.17,17.95,38.60
7.25,6.04,31.06
8.46,8.06,8.39
2.41,6.51,3.42
9.01,2.82,30.42
7.88,2.81,48.46
5.75,19.50,2.18
2.60,2.52,21.51
5.74,7.21,13.59
2.07,6.24,14.27
1.68,14.27,22.72
9.85,14.50,14.18
6.63,12.91,39.38
5.18,16.63,14.85
7.18,1.61,21.85
1.00,4.03,20.39
2.83,7.22,17.92
6.96,4.16,38.16
1.63,12.54,10.05
3.03,9.46,43.66
4.51,14.94,9.60
8.01,15.48,41.98
5.96,14.11,20.12
5.87,15.92,1.30
0.96,4.54,45.17
3.99,14.64,44.43
1.76,13.69,38.82
1.34,15.89,33.71
6.57,8.76,32.55
7.91,8.63,3.85
3.66,3.95,18.68
4.84,9.90,15.67
5.22,2.02,24.89
1.77,16.36,34.60
1.19,11.07,5.36
6.37,10.37,24.32
4.82,7.69,39.46
1.15,19.51,37.51
5.66,10.58,13.15
3.19,12.19,41.11
0.50,12.69,19.04
7.81,12.03,48.01
5.69,1.78,32.43
6.67,12.71,16.46
7.41,16.31,13.24
7.72,16.24,2.88
7.43,16.60,8.78
9.19,11.60,4.49
4.89,19.08,11.00
2.06,17.30,21.39
7.62,10.55,31.58
8.95,10.21,41.79
8.66,9.66,12.86
3.97,17.69,40.17
8.59,14.66,12.94
5.89,12.09,28.24
0.50,19.42,10.36
1.71,11.38,18.06
8.69,19.36,0.11
3.22,7.41,13.07
1.36,13.99,33.04
3.15,10.41,14.43
2.44,10.06,26.26
5.39,0.97,44.84
2.79,10.70,49.14
9.13,9.38,47.18
7.43,13.33,42.43
1.56,10.02,27.08
7.27,18.45,36.57
8.28,1.69,34.45
2.99,19.04,28.58
3.95,0.02,5.29
7.17,2.05,0.07
3.34,16.67,18.08
7.15,1.65,45.11
8.14,0.17,21.16
5.10,19.17,12.63
8.72,8.21,9.69
5.99,16.30,42.20
0.19,16.62,9.64
3.77,11.94,0.82
2.66,16.80,22.42
4.79,3.18,45.94
1.46,13.78,21.10
8.30,3.88,12.82
0.64,15.68,2.37
0.14,10.30,23.12
2.39,8.79,47.16
0.42,18.79,42.34
2.20,6.08,4.96
7.15,0.62,26.65
3.36,12.05,41.90
0.98,7.53,10.65
5.37,11.34,35.16
7.20,9.00,40.21
6.00,10.83,43.66
9.05,5.31,6.60
1.57,3.43,41.08
1.88,3.15,17.51
7.99,6.03,41.52
6.69,10.75,30.56
4.20,8.12,34.50
4.79,4.97,49.20
6.75,14.31,24.65
4.69,2.16,15.00
5.70,4.74,10.56
7.53,4.86,20.26
7.43,4.61,17.48
5.10,7.94,22.94
5.53,18.47,29.24
5.09,1.37,47.64
5.25,5.41,16.91
6.06,9.23,19.83
5.16,18.31,5.19
9.55,18.82,48.29
4.24,0.17,35.96
4.42,1.21,48.78
7.20,10.40,31.54
0.02,16.75,39.17
0.48,13.40,44.54
7.23,16.03,13.59
9.08,12.52,16.30
4.81,4.69,21.69
3.18,4.93,47.49
8.44,18.15,20.41
3.19,15.51,32.41
8.60,6.78,47.71
9.27,18.73,46.80
2.98,8.09,3.39
5.12,5.31,19.06
2.49,17.95,45.47
6.47,13.24,7.99
7.87,4.11,45.58
1.10,2.40,6.90
0.88,2.58,6.57
9.11,10.30,25.78
9.85,17.67,12.56
2.53,3.95,11.55
4.36,13.97,18.57
2.63,19.16,33.30
7.76,16.99,4.87
7.12,6.83,10.35
1.04,20.00,19.57
9.25,8.06,30.60
5.16,6.41,4.63
1.19,14.73,37.65
2.59,16.07,35.50
9.07,6.85,7.12
3.08,10.78,34.71
0.71,3.46,19.58
5.60,7.34,20.69
9.56,13.64,21.50
1.79,18.61,21.11
5.32,15.38,6.54
4.57,9.48,47.96
9.78,15.63,12.93
5.80,14.99,47.37
6.46,12.80,37.33
4.36,6.92,46.78
2.96,3.44,12.58
8.83,9.35,40.24
6.74,18.90,49.96
2.70,8.43,41.02
2.45,11.31,12.37
3.04,7.59,17.25
1.99,0.76,32.76
3.48,14.99,4.12
9.25,8.88,37.31
6.14,10.09,34.89
8.21,14.44,32.53
3.66,6.48,35.78
2.61,8.93,7.89
9.14,15.34,34.48
5.12,7.05,39.74
1.78,11.58,12.96
4.55,3.75,36.16
9.18,5.69,23.37
3.88,11.67,32.59
2.39,13.54,49.39
0.40,4.75,12.88
8.30,7.51,47.40
5.30,13.72,8.85
0.40,13.05,23.93
9.87,18.30,9.63
8.36,17.56,17.63
7.57,12.59,3.01
5.74,7.52,46.92
4.39,7.41,14.83
1.44,8.51,1.83
1.36,5.83,16.76
9.23,10.63,40.43
5.94,15.30,24.91
10.00,7.79,7.31
2.99,12.72,41.41
2.82,17.59,3.60
5.94,9.36,28.05
9.77,13.39,35.90
7.13,11.71,20.74
4.96,7.30,15.87
7.24,0.83,14.64
9.86,5.16,4.79
6.66,5.30,1.04
0.38,9.38,29.40
4.19,8.26,13.54
2.51,16.15,36.02
7.32,2.41,6.52
2.38,2.76,33.27
2.98,10.84,32.26
3.91,17.01,27.51
4.45,16.41,26.73
0.73,5.94,26.21
4.19,4.20,24.85
8.97,5.06,26.72
4.59,7.93,30.52
1.26,0.77,2.31
6.15,4.29,4.34
9.65,5.15,49.40
3.40,4.32,25.65
9.05,15.92,21.90
7.78,12.67,33.67
2.62,7.48,11.64
3.44,6.82,20.02
6.21,12.94,30.06
8.69,2.73,48.43
6.82,8.22,38.67
0.34,6.47,43.34
3.27,6.60,27.87
8.23,12.82,6.71
3.69,16.64,6.18
3.21,3.80,46.29
9.71,2.74,13.93
9.48,15.64,1.72
4.28,17.08,30.32
1.27,0.28,31.25
5.21,10.40,37.15
4.51,9.71,22.77
7.89,19.60,29.43
6.76,8.76,8.62
0.77,11.14,12.82
0.39,9.16,43.58
6.37,10.62,43.17
4.49,19.98,0.32
2.81,0.95,9.03
4.18,17.12,6.97
9.29,13.19,0.31
9.08,2.20,23.48
2.53,12.81,44.13
6.70,6.22,14.79
6.50,19.43,2.41
5.18,16.08,16.23
6.18,14.54,44.62
0.10,5.16,0.40
3.03,17.25,10.97
2.91,18.64,29.60
0.72,19.13,20.40
4.98,0.14,24.16
1.29,0.43,30.00
7.92,9.41,19.76
5.35,19.87,3.27
8.33,5.56,20.90
7.96,11.88,48.55
9.26,16.11,40.76
3.64,17.29,3.20
8.69,18.59,25.84
3.07,15.52,26.11
8.12,9.84,41.12
8.00,17.14,4.31
3.03,9.89,34.10
4.90,17.51,21.12
8.61,4.10,15.08
6.71,4.18,13.43
6.31,2.47,42.53
6.97,10.16,3.69
6.69,0.16,43.76
9.53,10.26,8.68
7.22,13.64,11.92
9.85,10.88,34.74
0.87,0.77,15.53
2.45,1.07,11.72
3.84,14.92,7.36
1.96,1.03,29.86
4.42,13.99,11.50
2.55,7.80,43.62
6.19,0.30,38.10
2.11,6.59,29.20
3.38,4.66,21.89
0.22,3.21,42.64
1.86,8.23,28.69
1.80,16.83,43.33
1.57,10.18,31.67
0.31,17.06,5.13
0.63,6.11,5.06
5.47,4.21,41.59
9.67,2.83,49.48
5.99,2.85,49.91
2.38,1.58,9.34
3.27,19.80,17.20
0.40,0.55,2.64
5.62,9.60,15.95
0.38,17.13,17.79
4.62,9.40,40.64
9.95,2.84,0.88
4.27,4.22,40.38
8.83,7.60,44.96
3.16,5.49,39.86
0.91,6.70,26.40
4.90,9.54,42.27
0.14,12.91,2.68
4.01,11.31,44.26
4.94,10.04,5.06
4.75,3.74,30.38
7.27,10.71,49.66
6.77,15.52,49.83
3.12,1.32,1.57
5.62,16.34,29.94
7.53,12.54,6.58
9.72,11.80,46.30
4.78,16.72,45.26
0.95,2.51,6.60
5.66,12.12,15.79
7.01,18.21,39.79
8.52,18.89,30.18
2.01,9.53,32.65
5.16,11.15,1.85
9.36,19.91,15.05
3.43,11.73,8.11
2.67,0.72,21.70
4.99,4.42,13.05
7.17,14.77,10.30
8.46,17.80,46.12
8.51,0.56,14.72
3.89,10.86,6.16
5.54,2.09,28.76
7.63,19.10,30.15
5.74,0.45,23.45
0.06,11.73,31.02
5.77,3.96,13.86
2.99,4.31,2.64
6.70,8.89,29.53
2.41,5.61,48.72
9.21,15.54,12.75
6.01,0.15,1.36
6.13,19.26,17.81
5.66,14.26,39.67
6.71,17.13,25.85
3.91,7.69,5.03
4.64,17.03,13.24
5.27,8.86,11.78
6.92,5.11,44.83
7.19,19.20,7.87
9.21,15.93,36.03
7.77,14.06,46.08
0.16,7.47,3.78
5.57,7.57,15.35
0.97,6.30,41.26
5.89,7.80,10.15
3.79,12.56,0.02
4.53,10.77,34.93
1.14,11.99,2.39
3.57,1.43,13.64
5.62,15.09,36.84
7.03,7.77,23.65
9.64,8.92,29.15
3.52,3.01,11.50
2.05,18.61,9.68
7.95,6.47,44.95
3.18,13.55,5.13
2.75,7.35,11.87
8.04,18.94,28.82
2.28,2.23,36.46
3.59,18.77,34.28
7.54,5.69,10.99
4.74,14.11,32.40
4.61,15.10,16.06
3.29,4.70,34.93
6.74,0.59,16.66
5.20,1.68,38.87
1.96,18.26,3.19
0.54,9.77,47.33
7.49,5.01,16.64
5.78,18.74,33.25
9.80,16.86,43.56
0.28,14.09,3.90
0.64,13.25,23.60
9.61,14.40,0.94
0.70,10.60,19.68
9.10,2.58,45.45
6.27,11.97,18.05
6.96,6.74,31.88
3.61,7.17,15.40
1.61,11.32,45.52
4.41,12.68,11.22
0.82,19.08,28.02
8.51,8.85,7.02
2.04,10.73,24.86
8.67,4.90,39.73
8.97,1.41,6.64
0.90,12.24,20.48
3.40,14.25,44.92
4.86,13.01,45.86
1.16,0.85,49.78
5.26,0.02,5.01
3.36,5.80,14.07
7.84,5.85,17.39
8.36,6.45,4.98
6.97,8.96,18.34
5.92,4.50,34.59
6.18,2.29,28.79
4.96,19.32,45.27
7.38,1.46,12.86
0.37,16.58,45.97
4.74,0.46,35.93
7.69,8.81,24.09
0.51,6.86,26.74
6.59,6.09,45.97
3.48,14.14,42.89
2.49,12.07,13.92
4.78,3.18,25.13
9.89,14.61,2.31
9.15,18.54,38.13
5.43,18.54,5.54
1.84,4.32,23.49
4.55,5.36,13.64
2.98,6.90,47.31
0.19,2.35,35.32
0.59,5.31,2.81
4.18,13.61,28.38
3.61,0.59,37.74
4.93,14.08,20.17
4.59,7.12,32.86
1.97,1.85,26.47
0.71,6.27,44.82
0.17,6.35,6.45
1.04,12.52,14.03
9.18,11.15,33.25
5.26,1.12,42.43
8.01,8.69,1.34
8.93,13.99,45.41
6.96,16.19,49.06
2.03,10.31,47.69
5.67,16.31,20.72
6.79,4.79,28.58
9.91,1.15,11.49
5.54,5.61,29.96
6.14,12.82,12.01
0.84,10.49,30.71
6.71,3.92,13.88
0.55,2.33,47.61
9.81,2.65,38.14
1.40,19.11,13.47
6.76,15.17,6.69
1.39,14.96,16.20
0.99,8.16,3.24
9.24,10.46,10.48
8.97,10.87,32.04
3.71,16.77,8.58
0.21,16.53,48.89
5.38,9.53,11.24
3.14,14.90,32.21
5.60,4.14,31.39
4.46,9.74,1.91
2.62,7.02,11.43
8.71,16.75,21.19
9.55,4.63,48.60
1.92,6.71,32.30
2.41,4.96,34.08
5.75,17.71,6.07
8.77,2.13,36.53
8.96,1.83,18.39
3.49,5.03,32.74
0.27,4.50,11.25
2.52,4.23,20.55
8.09,3.69,10.41
8.92,12.17,19.04
2.29,10.76,23.07
4.81,0.39,15.18
8.12,12.38,20.39
7.10,18.68,4.74
4.02,6.11,48.29
6.34,6.23,2.65
1.39,18.52,8.59
1.22,1.43,6.36
9.61,4.78,9.39
7.41,2.47,42.58
4.07,15.05,47.92
4.16,6.39,34.80
3.17,0.68,20.64
4.84,3.21,41.72
5.34,19.12,37.34
0.91,0.65,35.86
4.14,16.68,20.99
3.84,8.89,49.30
4.82,19.52,8.27
0.09,4.74,29.42
7.63,4.27,43.46
1.05,7.22,15.74
3.96,14.14,26.26
9.35,12.75,18.56
8.21,3.47,3.05
2.83,7.89,1.72
8.61,11.27,37.89
7.80,15.96,45.65
2.72,3.80,32.69
0.34,9.37,21.29
5.31,0.43,15.61
7.76,15.32,23.41
9.14,18.37,8.71
6.75,19.29,41.43
7.92,4.39,10.60
6.60,2.26,13.83
2.50,6.27,42.27
2.30,7.18,16.92
5.05,1.32,21.96
2.45,11.89,43.85
4.34,11.53,36.40
6.07,6.36,42.41
2.62,14.78,45.66
4.94,19.70,35.13
4.13,3.51,18.02
1.16,2.07,18.76
9.08,13.08,29.71
8.14,17.12,21.37
6.26,10.65,26.27
0.99,1.29,44.34
5.90,19.81,34.95
2.13,0.39,3.76
0.79,5.23,33.73
8.39,11.29,24.99
5.33,12.63,30.78
3.52,15.78,47.95
6.01,0.22,48.06
9.25,6.54,37.96
1.83,8.24,31.27
3.36,3.63,36.48
0.75,16.31,40.41
6.42,12.63,49.33
0.70,16.27,19.31
2.26,14.35,49.74
3.84,5.15,46.70
6.25,4.95,1.86
5.06,6.98,15.76
1.27,2.19,48.87
7.66,17.67,35.57
1.36,16.38,22.38
4.10,17.20,2.49
1.85,13.61,43.44
9.52,4.47,12.52
5.06,16.33,1.33
7.10,18.46,33.31
0.24,16.40,46.76
6.65,19.45,22.54
5.23,17.99,43.58
5.95,17.76,45.16
5.92,16.33,0.71
1.58,14.64,38.64
1.87,13.54,11.65
6.22,2.06,46.85
2.36,3.46,2.99
8.19,7.05,9.42
6.04,13.25,5.68
3.94,3.50,45.94
2.14,19.31,37.66
6.96,13.50,2.44
6.93,5.45,41.47
2.08,18.99,36.13
7.67,17.52,21.90
6.26,12.27,43.93
7.16,15.85,23.41
5.23,5.20,17.30
4.68,13.51,4.84
5.82,6.84,2.22
2.39,13.69,9.20
7.02,4.45,25.41
8.18,3.45,24.57
4.52,3.73,40.36
9.18,17.68,35.53
6.54,7.12,37.89
5.19,16.92,32.50
8.75,10.43,17.57
4.67,8.78,12.74
0.68,19.43,8.56
5.89,13.18,7.06
1.53,16.97,12.38
6.88,8.04,6.88
4.88,17.06,33.11
8.13,18.29,35.52
5.10,15.67,46.03
2.75,7.43,24.17
3.00,11.22,34.42
7.12,16.29,25.12
1.10,12.42,8.83
2.65,19.43,4.42
2.54,8.14,44.13
6.37,0.87,44.25
8.81,7.71,46.26
6.51,16.07,24.51
4.11,15.47,28.65
2.62,3.67,33.27
3.89,0.20,49.91
7.87,7.12,23.96
3.66,16.95,5.16
5.08,7.21,28.62
1.14,3.13,1.54
8.15,8.29,47.13
0.81,5.26,43.88
3.47,12.93,34.64
3.03,19.84,17.43
2.76,0.20,6.42
5.91,0.63,1.68
2.95,13.63,16.26
7.13,7.29,9.08
8.61,12.10,37.79
2.88,0.59,21.17
2.08,0.80,39.13
3.22,3.03,34.75
4.21,14.19,23.78
7.36,18.52,23.84
2.17,2.96,1.25
9.42,13.38,4.48
9.33,4.09,32.49
3.20,4.53,47.11
6.42,0.78,9.65
3.93,16.40,48.48
8.25,9.21,23.87
3.38,2.29,17.69
8.57,16.61,15.33
9.38,2.77,34.96
0.42,19.54,5.41
0.04,0.03,0.79
2.98,15.48,25.88
7.33,19.96,13.40
7.58,4.33,34.01
3.77,18.43,31.95
4.09,18.95,28.43
4.05,5.90,11.73
8.29,16.50,14.80
9.42,13.95,42.07
7.80,4.77,29.83
2.11,2.99,31.93
8.58,8.73,31.35
6.55,11.27,40.37
8.06,19.08,48.58
9.14,14.50,14.02
4.93,14.97,23.73
6.56,11.34,9.91
7.48,18.52,11.06
8.88,17.05,34.97
2.97,4.75,25.66
1.36,7.14,41.87
6.33,8.20,45.86
1.00,7.98,24.58
2.05,16.71,19.78
7.02,15.22,9.73
8.59,16.91,37.68
0.59,12.22,33.61
0.01,14.72,46.54
7.86,16.22,46.04
2.73,9.92,45.95
4.87,12.14,21.93
3.98,10.69,48.76
8.45,1.43,42.07
6.94,16.00,13.70
5.52,3.96,31.40
1.95,10.68,45.66
0.94,1.63,6.56
6.50,17.12,5.30
4.31,18.00,22.11
4.98,9.24,12.28
6.97,2.93,19.55
3.20,13.99,1.31
5.45,12.29,38.08
4.63,13.74,45.86
3.84,14.67,1.50
2.19,19.94,3.62
5.68,2.65,22.45
7.36,14.05,32.48
4.17,18.47,5.81
9.72,0.60,3.20
8.98,2.08,7.68
4.59,8.45,22.53
7.82,11.77,42.79
0.04,9.38,13.97
1.40,5.46,31.68
5.60,19.21,45.52
0.44,3.32,37.78
9.44,4.08,41.38
6.29,3.07,43.32
0.72,8.04,18.73
2.16,19.50,39.73
8.69,15.15,35.56
2.24,13.14,48.55
6.36,5.18,15.96
4.70,18.06,40.71
4.79,0.60,33.37
3.98,18.78,16.87
1.86,18.07,33.68
8.61,11.51,47.90
5.89,18.19,36.44
7.49,13.28,46.72
9.26,12.92,4.07
8.34,11.09,8.20
4.46,13.05,11.63
8.54,9.58,47.39
9.60,16.72,33.22
7.41,19.29,36.61
2.35,17.45,28.41
9.94,20.00,39.15
4.54,18.42,14.38
1.49,17.55,22.64
0.70,14.79,4.40
8.51,1.45,11.72
9.69,14.26,38.54
0.73,8.94,10.61
6.43,12.25,32.70
0.76,15.85,24.64
8.54,10.32,10.49
2.86,10.20,42.46
1.06,17.65,10.15
3.71,16.70,30.70
1.68,4.11,2.06
0.66,0.18,21.50
6.91,5.09,4.35
7.43,10.16,3.70
1.56,6.42,8.98
9.00,15.18,19.45
5.44,15.43,25.64
1.46,18.64,14.14
3.04,2.86,48.60
3.03,17.33,47.32
6.01,3.11,47.34
4.42,12.79,43.61
3.83,3.91,0.15
9.28,10.72,1.53
3.84,10.54,35.67
5.40,13.88,8.26
1.93,10.04,23.42
3.07,4.11,38.81
5.41,3.13,21.29
4.22,12.34,39.60
0.59,16.84,25.59
4.99,19.04,38.47
0.53,0.58,18.41
1.42,4.33,29.14
3.33,8.57,13.78
7.83,18.97,36.64
2.63,1.44,26.95
8.67,2.65,5.38
1.29,7.82,4.10
10.00,11.89,18.53
8.89,7.11,11.43
5.24,8.43,18.11
4.17,13.50,47.88
5.86,5.56,4.36
6.26,2.79,24.54
3.33,7.89,21.63
0.13,18.48,17.99
1.80,5.85,16.86
0.05,16.03,18.62
5.46,19.09,35.54
5.99,14.09,17.29
6.86,7.35,9.89
1.68,16.55,15.91
3.22,0.09,44.67
0.48,3.44,27.56
8.89,0.78,0.62
0.09,13.40,7.45
7.64,8.11,28.58
4.70,0.43,7.22
0.71,12.61,36.25
2.39,0.16,2.00
3.69,1.71,29.93
3.81,8.01,31.22
9.30,12.75,22.60
6.46,2.93,44.56
4.30,15.85,0.84
1.29,10.62,6.62
5.21,19.70,13.16
2.88,16.49,2.51
8.60,11.82,19.10
4.53,15.58,35.05
1.34,9.72,37.64
8.59,11.48,0.84
6.29,18.22,21.44
2.77,3.20,24.49
7.47,12.54,28.84
0.61,19.26,19.83
1.95,7.84,11.64
9.85,0.27,14.22
0.40,0.23,12.00
1.30,5.10,12.84
3.80,8.85,29.64
3.11,17.47,31.87
7.82,9.76,22.98
7.89,9.41,2.43
9.05,11.85,34.69
9.20,5.76,25.58
9.05,0.16,45.11
2.98,13.73,36.31
5.68,14.06,31.73
5.75,19.31,7.83
6.22,3.04,40.26
0.70,14.91,26.96
8.80,2.08,24.47
8.46,17.88,36.41
5.46,17.15,6.83
7.59,3.88,42.08
2.22,17.20,35.98
0.13,11.68,41.01
9.56,0.62,33.17
0.13,8.61,15.29
3.53,17.24,40.02
2.53,19.72,29.77
9.46,5.82,32.92
4.25,8.51,42.90
3.48,7.81,27.03
3.31,10.85,5.16
6.61,12.35,26.73
4.78,11.30,19.12
2.43,20.00,8.96
5.16,18.85,17.29
4.85,0.11,30.29
0.13,0.51,11.28
6.15,7.95,36.07
4.24,6.99,30.40
3.23,4.69,47.08
3.08,14.89,9.61
0.69,7.60,23.68
0.21,13.47,26.16
3.63,17.18,34.87
6.84,14.98,8.85
2.98,6.90,4.54
4.19,7.48,17.26
3.15,17.11,35.24
2.02,17.67,36.53
6.69,8.04,39.57
4.87,14.41,16.27
0.86,0.38,42.06
0.24,16.51,44.18
5.06,13.54,5.86
4.87,2.32,28.95
6.54,15.97,15.41
5.63,12.76,6.73
2.61,2.82,39.58
5.43,2.34,16.50
6.33,1.17,2.07
4.73,15.19,35.29
0.88,18.57,36.50
1.07,2.77,25.89
4.57,5.68,25.46
2.44,18.71,6.37
3.56,5.04,41.15
3.04,13.69,34.40
4.85,4.95,32.62
9.30,18.57,14.58
8.22,12.87,36.67
1.62,17.63,24.90
6.05,3.18,42.77
5.71,10.28,25.41
0.14,16.26,42.16
3.40,19.80,38.01
1.22,9.82,49.16
2.21,13.11,20.01
6.20,17.42,20.28
3.95,18.36,7.89
7.34,1.08,4.16
8.72,7.92,48.26
1.52,7.30,16.07
9.10,14.94,49.62
7.05,14.95,21.02
1.31,3.10,11.90
3.42,3.17,45.33
4.47,9.25,6.15
9.66,11.87,9.13
3.88,17.06,22.06
0.51,4.40,27.48
2.38,9.02,24.58
3.48,4.27,41.88
5.27,11.11,20.76
0.87,2.35,42.08
0.36,11.68,19.98
4.93,8.80,27.75
3.19,6.20,30.97
2.37,11.01,32.49
8.70,3.08,9.59
7.26,14.88,42.72
6.52,16.31,40.43
2.38,8.28,31.10
0.32,18.41,27.22
3.29,9.40,20.19
1.72,11.47,33.54
2.19,2.23,36.37
2.95,11.57,25.95
9.31,7.98,18.24
7.19,6.38,24.07
1.56,0.07,35.21
2.53,7.39,34.47
8.29,16.77,46.55
0.22,9.80,1.66
2.17,5.83,21.10
0.55,18.27,39.87
0.53,11.36,15.95
2.45,3.54,44.06
7.03,17.35,20.14
0.76,2.28,44.22
9.57,15.84,32.04
6.92,8.23,22.83
6.99,14.20,42.34
4.20,7.19,47.50
7.19,18.16,16.58
8.88,0.30,35.65
9.76,12.52,47.59
4.60,15.66,45.78
4.34,19.84,49.88
5.56,1.61,28.67
5.27,4.84,3.54
1.99,3.86,14.57
5.29,0.99,27.26
2.37,17.33,20.84
2.88,3.21,27.57
7.73,3.88,27.89
3.09,18.94,6.86
2.67,1.34,41.08
5.66,8.81,7.58
7.39,10.99,26.26
3.94,2.82,43.02
6.73,13.02,16.99
7.93,2.01,6.58
5.84,2.99,5.57
9.62,16.22,26.02
1.71,3.03,14.60
9.65,16.40,5.85
6.33,8.94,20.63
4.08,9.52,36.06
8.10,17.11,38.48
6.37,4.83,4.64
7.31,10.62,36.54
6.36,12.99,48.48
3.26,14.42,10.26
8.79,13.22,34.63
0.82,9.18,11.65
8.86,1.94,35.71
5.08,2.34,11.41
5.28,0.19,4.04
0.89,17.58,2.86
2.73,15.87,1.64
1.95,14.78,42.35
9.67,8.12,14.01
0.88,6.41,27.03
9.63,4.66,2.30
4.61,12.38,0.79
4.11,5.87,4.38
6.22,19.26,10.66
0.03,6.90,35.91
0.04,12.29,26.91
7.75,17.23,38.65
2.76,6.73,6.17
4.10,15.59,41.04
7.94,4.55,5.84
2.65,17.02,20.25
2.77,6.71,46.39
